videoname,text(summary),gist(chapter),youtube_id,chapter,category,cluster_label
A Complete Overview of Word Embeddings,"There are two ways to make a word embedding: from scratch or from a pre-made model. In the latter case, you need to have a lot of training data and it will probably take a long time to achieve a good performance. The other way is to use a pretrained word embeddings.",Word embedding options.,I1XeDS-GLbg,two ways make word embedding scratch model latter case need lot training data probably take long time achieve good performance way use pretrained word embeddings,word embedding options,29
A Day in the Life of a Data Analyst,"Tom explains to you what a data analyst does and why it's one of the coolest job titles in the 21st century. The data analyst needs to be a storyteller, a mathematician, a coder and a business consultant at the same time. More and more jobs these days are remote working, and the data analysts can do their job from anywhere.",What is a data analyst.,I1XeDS-GLbg,tom explains data analyst one coolest job titles century data analyst needs storyteller mathematician coder business consultant time jobs days remote working data analysts job anywhere,data analyst,7
A Day in the Life of a Data Analyst 2022,"Data analysts should document their work. They need to stay abreast of the market of data analytics, data science and data engineering. Good data analysts need to be strong in maths and they need to spend a lot of time doing research. They also need to meet other data analysts and check out new code libraries.",Documentation and meeting with stakeholders.,I1XeDS-GLbg,data analysts document work need stay abreast market data analytics data science data engineering good data analysts need strong maths need spend lot time research also need meet data analysts check new code libraries,documentation meeting stakeholders,7
A Day in the Life of a Data Analyst 2022,"Stakeholder meetings are a regular part of a data analyst's day. They can be held with product team, senior management, finance or with other data members of staff. It's important to be honest and transparent with the business. Data analysts help the business to make data driven decisions.",Focus on the wider business.,I1XeDS-GLbg,stakeholder meetings regular part data analyst day held product team senior management finance data members staff important honest transparent business data analysts help business make data driven decisions,focus wider business,7
A Day in the Life of a Data Analyst 2022,"As a data analyst, you need to know how to code. Different companies require different programming languages, so don't be confused if you're asked to learn a new language. Good data analysts have to use version control in their work and write lots of tests.",Code maintenance tips.,I1XeDS-GLbg,data analyst need know code different companies require different programming languages confused asked learn new language good data analysts use version control work write lots tests,code maintenance tips,8
A Day in the Life of a Data Analyst 2022,"As a data analyst, I like to start my day with a good cup of coffee. My morning ritual varies between meditation and exercise. My favorite coffee is a latte, uh, with oat milk. I spend a few minutes doing prep work. After that, I spend half an hour in team meetings.",What's your morning ritual.,I1XeDS-GLbg,data analyst like start day good cup coffee morning ritual varies meditation exercise favorite coffee latte uh oat milk spend minutes prep work spend half hour team meetings,morning ritual,44
A Day in the Life of a Data Analyst 2022,"After the team meeting, they are going to focus on data analytics for a couple of hours. They will break down the tasks into subcomponents and document their processes as they go. The first thing they need to do is pull data from the sources. They need to make sure that the data quality is maintained. They also need to create data visualization and create reports.",Preparing the tasks.,I1XeDS-GLbg,team meeting going focus data analytics couple hours break tasks subcomponents document processes go first thing need pull data sources need make sure data quality maintained also need create data visualization create reports,preparing tasks,7
A Day in the Life of a Data Analyst 2022,There are two ways to produce reports: interactive dashboards and static presentations. Interactive dashboards are powerful apps that allow you to summarize findings from various sources and use a variety of different visualization techniques. Static presentations are static and tend to be used for one-off presentations. Data analysts want to include a combination of charts and text in their reports to convey the message to the business.,Produce reports about your findings.,I1XeDS-GLbg,two ways produce reports interactive dashboards static presentations interactive dashboards powerful apps allow summarize findings various sources use variety different visualization techniques static presentations static tend used presentations data analysts want include combination charts text reports convey message business,produce reports findings,8
AI vs Machine Learning vs Deep Learning,Machine learning came into existence in the late 80s and early 90s. It is a subset of AI and enables the computer to act and make data driven decisions to carry out a certain task. The main goal of machine learning is to minimize the error and make them as small as possible.,What is machine learning.,I1XeDS-GLbg,machine learning came existence late early subset ai enables computer act make data driven decisions carry certain task main goal machine learning minimize error make small possible,machine learning,31
AI vs Machine Learning vs Deep Learning | Machine Learning Training with Python | Edureka,"Today's discussion was about Eddie's Rica video. In case you have any doubts or questions, you can comment and we will reply to them at the earliest. Do look out for more videos in the playlist and subscribe to Eddie's channel to learn more.",Please add your query.,I1XeDS-GLbg,today discussion eddie rica video case doubts questions comment reply earliest look videos playlist subscribe eddie channel learn,please add query,15
AWS Cloud Architect Interview Series,"As part of the episode, the show will focus on the questions which cover at least an architect interview and then try to do in a second episode about the solution for various parts of the application. The main reason for moving the application to Cloud is the main reason why the architect wants to move it to Cloud.",Why move your app to cloud.,I1XeDS-GLbg,part episode show focus questions cover least architect interview try second episode solution various parts application main reason moving application cloud main reason architect wants move cloud,move app cloud,37
AWS Cloud Architect Interview Series SCENARIO based Questions Part - 1,"Today's scenario is about a three tier web application which is currently hosted on Prem, and the customer wants to move it to Cloud. The interviewer is interested in solving this part of the problem. In the second format, the interviewer asks more questions to get more information from the customer. The key thing to understand is that you are not being judged for the solution, but for the questions you ask.",Moving from prem to cloud.,I1XeDS-GLbg,today scenario three tier web application currently hosted prem customer wants move cloud interviewer interested solving part problem second format interviewer asks questions get information customer key thing understand judged solution questions ask,moving prem cloud,34
AWS Cloud Architect Interview Series SCENARIO based Questions Part - 1,"In the first format, the interviewer tells you what questions to ask during the interview. The second format, where you are interviewing for an architect position, you are going to try and get as much information about that particular application as possible. In the third format, you will try to apply your flavor to the solution.",Interviewing for an architect position.,I1XeDS-GLbg,first format interviewer tells questions ask interview second format interviewing architect position going try get much information particular application possible third format try apply flavor solution,interviewing architect position,34
AWS Cloud Architect Interview Series SCENARIO based Questions Part - 1,"In the next episode, Dr. Dr explains the availability requirements RTO, RPO and RPU. He explains the difference between RTO and RPO. He also explains how much downtime is okay with you and how much data are you okay to lose. He talks about the cost.",Availability requirements for cloud services.,I1XeDS-GLbg,next episode dr explains availability requirements rto rpo rpu explains difference rto rpo also explains much downtime okay much data okay lose talks cost,availability requirements cloud services,37
AWS Cloud Architect Interview Series SCENARIO based Questions Part - 1,"In the second episode of the interview the interviewee will be asked about the stack which is getting used as part of their application. They will also ask about the size of the infrastructure, the current sizing of the servers, the workload variation and the spread of their customers. There are many questions to be asked before architecting a solution for a project. In the second video they will talk about the answers to these questions. They will also put a diagram. There are other videos on the channel as well in case you are watching for his time.",Understanding the stack.,I1XeDS-GLbg,second episode interview interviewee asked stack getting used part application also ask size infrastructure current sizing servers workload variation spread customers many questions asked architecting solution project second video talk answers questions also put diagram videos channel well case watching time,understanding stack,15
AWS Cloud Architect Interview Series SCENARIO based Questions Part - 1,"The first video in the series of interview questions is the first one. Next, two videos as part of the playlist will focus on scenario based questions which are typically asked in any interview, such as a cloud architect or a solution designer interview. The playlist link is in the description below.",The next videos in the series.,I1XeDS-GLbg,first video series interview questions first one next two videos part playlist focus scenario based questions typically asked interview cloud architect solution designer interview playlist link description,next videos series,15
An Introduction to GCP for Students,"Google Cloud is a set of tools that helps you spend less time managing and more time creating m google Cloud is the mixture of both GCP on the right and G Suite on the left. GCP is the infrastructure and platform as a service. Side of the house, G Suite is the software as a service.",What is google cloud.,I1XeDS-GLbg,google cloud set tools helps spend less time managing time creating google cloud mixture gcp right g suite left gcp infrastructure platform service side house g suite software service,google cloud,36
An Introduction to GCP for Students,"Coca-Cola put their biggest marketing campaign in history in the hands of Google, and it went very, very successfully. Now we're going to see another example of that “heard. Someone trying to clap. You can go ahead and clap.",Sponsored by coca - cola.,I1XeDS-GLbg,put biggest marketing campaign history hands google went successfully going see another example heard someone trying clap go ahead clap,sponsored coca cola,2
An Introduction to GCP for Students,"Spotify moved to Google's cloud platform to make use of the scale that Google can provide. Spotify uses Google's tools to get a lot of their data from users and provide tools to their users, like the daily mix or whatever else playlists that are custom made for you. Google has already built one of the greatest data centers in the world.",How spotify used gcp to enhance the music experience for everybody.,I1XeDS-GLbg,spotify moved google cloud platform make use scale google provide spotify uses google tools get lot data users provide tools users like daily mix whatever else playlists custom made google already built one greatest data centers world,spotify used gcp enhance music experience everybody,6
An Introduction to GCP for Students,A group of students from the University of Arizona has created a tool that allows students to find cheap flights to and from Europe. They used Google cloud platform to solve the problem of finding the cheapest tickets to Europe in less than exponential time. It was created on the biggest and most expensive virtual machine with 16 cores.,A tool to find cheap tickets to europe.,I1XeDS-GLbg,group students university arizona created tool allows students find cheap flights europe used google cloud platform solve problem finding cheapest tickets europe less exponential time created biggest expensive virtual machine cores,tool find cheap tickets europe,39
An Introduction to GCP for Students,"Spotify moved to Google's cloud platform to make use of the scale that Google can provide. Spotify uses Google's tools to get a lot of their data from users and provide tools to their users, like the daily mix or whatever else playlists that are custom made for you. Google has already built one of the greatest data centers in the world.",How spotify used gcp to enhance the music experience for everybody.,I1XeDS-GLbg,spotify moved google cloud platform make use scale google provide spotify uses google tools get lot data users provide tools users like daily mix whatever else playlists custom made google already built one greatest data centers world,spotify used gcp enhance music experience everybody,6
An Introduction to GCP for Students,A group of students from the University of Arizona has created a tool that allows students to find cheap flights to and from Europe. They used Google cloud platform to solve the problem of finding the cheapest tickets to Europe in less than exponential time. It was created on the biggest and most expensive virtual machine with 16 cores.,A tool to find cheap tickets to europe.,I1XeDS-GLbg,group students university arizona created tool allows students find cheap flights europe used google cloud platform solve problem finding cheapest tickets europe less exponential time created biggest expensive virtual machine cores,tool find cheap tickets europe,39
An Introduction to GCP for Students,Michael Hemimoto explains how to create a billing account on Googlecom.edu. He suggests using your personal Gmail account to create the billing account for your school's GCP tool. He also explains the difference between a credit card and a project account and how to set it up.,Free gcp credits for students.,I1XeDS-GLbg,michael hemimoto explains create billing account suggests using personal gmail account create billing account school gcp tool also explains difference credit card project account set,free gcp credits students,36
An Introduction to GCP for Students,"A team from Columbia University built a tool that allows two people to talk to each other via text and voice. They used Google's deep learning to turn text into speech. Sundar, CEO of Google, wants to get these tools into the hands of students throughout the next year.",The puzzle of what language do you use to communicate.,I1XeDS-GLbg,team columbia university built tool allows two people talk via text voice used google deep learning turn text speech sundar ceo google wants get tools hands students throughout next year,puzzle language use communicate,39
An Introduction to GCP for Students,"A team from Columbia University built a tool that allows two people to talk to each other via text and voice. They used Google's deep learning to turn text into speech. Sundar, CEO of Google, wants to get these tools into the hands of students throughout the next year.",The puzzle of what language do you use to communicate.,I1XeDS-GLbg,team columbia university built tool allows two people talk via text voice used google deep learning turn text speech sundar ceo google wants get tools hands students throughout next year,puzzle language use communicate,39
An Introduction to GCP for Students,"There are going to be some helpers walking around and answering questions. During the demo, they will create a project, create a billing account and create a VM. They'll sign up for a $300 credit. The demo will take place on Google Cloud. Googlecom?",Grab your hands dirty.,I1XeDS-GLbg,going helpers walking around answering questions demo create project create billing account create vm sign credit demo take place google cloud googlecom,grab hands dirty,6
An Introduction to GCP for Students,"As you use Google Cloud Platform, the dashboard will get filled up with monitoring and tools. The most important piece of information is your project ID, which you can find by clicking on Google Cloud Platform and then going to the dashboard. The project name is not universally unique, but the project ID is.",Project info on the dashboard.,I1XeDS-GLbg,use google cloud platform dashboard get filled monitoring tools important piece information project id find clicking google cloud platform going dashboard project name universally unique project id,project info dashboard,6
An Introduction to GCP for Students,Michael Hemimoto explains how to create a billing account on Googlecom.edu. He suggests using your personal Gmail account to create the billing account for your school's GCP tool. He also explains the difference between a credit card and a project account and how to set it up.,Free gcp credits for students.,I1XeDS-GLbg,michael hemimoto explains create billing account suggests using personal gmail account create billing account school gcp tool also explains difference credit card project account set,free gcp credits students,36
An Introduction to GCP for Students,Zisha explains how to create a code lab in Google CodeLab on Googlecom. It's a tutorial that walks students through how to use a specific tool and perform a specific task. Zisha recommends using codelabs to teach students about a tool.,Create an instance from scratch.,I1XeDS-GLbg,zisha explains create code lab google codelab googlecom tutorial walks students use specific tool perform specific task zisha recommends using codelabs teach students tool,create instance scratch,39
An Introduction to GCP for Students,"The instance has been created. And now we have a computer so we can SSH into it. It opens up a console where I'm writing code in the doc in the virtual machine. To close it, you just click X and leave. To delete the instance, you have to click Delete.",Helloworld virtual machine.,I1XeDS-GLbg,instance created computer ssh opens console writing code doc virtual machine close click x leave delete instance click delete,helloworld virtual machine,39
An Introduction to GCP for Students,"As you use Google Cloud Platform, the dashboard will get filled up with monitoring and tools. The most important piece of information is your project ID, which you can find by clicking on Google Cloud Platform and then going to the dashboard. The project name is not universally unique, but the project ID is.",Project info on the dashboard.,I1XeDS-GLbg,use google cloud platform dashboard get filled monitoring tools important piece information project id find clicking google cloud platform going dashboard project name universally unique project id,project info dashboard,6
An Introduction to GCP for Students,"There are going to be some helpers walking around and answering questions. During the demo, they will create a project, create a billing account and create a VM. They'll sign up for a $300 credit. The demo will take place on Google Cloud. Googlecom?",Grab your hands dirty.,I1XeDS-GLbg,going helpers walking around answering questions demo create project create billing account create vm sign credit demo take place google cloud googlecom,grab hands dirty,6
An Introduction to GCP for Students,"Coca-Cola used Google cloud platform for its World Cup marketing campaign. The campaign used 3 million and a half images from over 200 countries. The agency that was creating the photo mosaic printed in fabric, we recreated the equivalent digitally. Google's Cloud platform has the same infrastructure as Google search engine.",How coca - cola participated in the world cup.,I1XeDS-GLbg,used google cloud platform world cup marketing campaign campaign used million half images countries agency creating photo mosaic printed fabric recreated equivalent digitally google cloud platform infrastructure google search engine,coca cola participated world cup,6
An Introduction to GCP for Students,"During the demo, Armon talked about the history of Onprem to Cloud, the three umbrellas of Cloud infrastructure platform as a service and G suite. He also talked about GCP's tools and use cases. Armon wants to thank the audience for listening to him.",Recap of the talk.,I1XeDS-GLbg,demo armon talked history onprem cloud three umbrellas cloud infrastructure platform service g suite also talked gcp tools use cases armon wants thank audience listening,recap talk,36
An Introduction to GCP for Students,"All right, everyone is back on time. They are eating lunch at the time they had planned to eat lunch at. You can leave your stuff in the room if you want. You will be eating with real life Google engineers. There is no assigned seating, so make sure you sit with people that look interesting. They will see you in an hour.",Back on time.,I1XeDS-GLbg,right everyone back time eating lunch time planned eat lunch leave stuff room want eating real life google engineers assigned seating make sure sit people look interesting see hour,back time,36
An Introduction to GCP for Students,"There are three different stages of how companies and people use computers: on premise timesharing, infrastructure as a service, and cloud. Cloud is broken up into three different umbrellas of tools: software infrastructure, plus a service, plus a little bit of magic.",What is cloud.,I1XeDS-GLbg,three different stages companies people use computers premise timesharing infrastructure service cloud cloud broken three different umbrellas tools software infrastructure plus service plus little bit magic,cloud,36
An Introduction to GCP for Students,Zisha explains how to create a code lab in Google CodeLab on Googlecom. It's a tutorial that walks students through how to use a specific tool and perform a specific task. Zisha recommends using codelabs to teach students about a tool.,Create an instance from scratch.,I1XeDS-GLbg,zisha explains create code lab google codelab googlecom tutorial walks students use specific tool perform specific task zisha recommends using codelabs teach students tool,create instance scratch,39
An Introduction to GCP for Students,"The instance has been created. And now we have a computer so we can SSH into it. It opens up a console where I'm writing code in the doc in the virtual machine. To close it, you just click X and leave. To delete the instance, you have to click Delete.",Helloworld virtual machine.,I1XeDS-GLbg,instance created computer ssh opens console writing code doc virtual machine close click x leave delete instance click delete,helloworld virtual machine,39
An Introduction to GCP for Students,"Arman. Hezerkani is a student at Carnegie Mellon University studying electrical in computer engineering. He is also an intern at Google, working as a Developer Programs engineer. This year he's working on G Suite and last year on GCP. Arman is going to talk about cloud today and answer three questions about it.",Introducing arman hezerkani.,I1XeDS-GLbg,arman hezerkani student carnegie mellon university studying electrical computer engineering also intern google working developer programs engineer year working g suite last year gcp arman going talk cloud today answer three questions,introducing arman hezerkani,34
An Introduction to GCP for Students,"There are three different stages of how companies and people use computers: on premise timesharing, infrastructure as a service, and cloud. Cloud is broken up into three different umbrellas of tools: software infrastructure, plus a service, plus a little bit of magic.",What is cloud.,I1XeDS-GLbg,three different stages companies people use computers premise timesharing infrastructure service cloud cloud broken three different umbrellas tools software infrastructure plus service plus little bit magic,cloud,36
An Introduction to GCP for Students,"Arman. Hezerkani is a student at Carnegie Mellon University studying electrical in computer engineering. He is also an intern at Google, working as a Developer Programs engineer. This year he's working on G Suite and last year on GCP. Arman is going to talk about cloud today and answer three questions about it.",Introducing arman hezerkani.,I1XeDS-GLbg,arman hezerkani student carnegie mellon university studying electrical computer engineering also intern google working developer programs engineer year working g suite last year gcp arman going talk cloud today answer three questions,introducing arman hezerkani,34
An Introduction to GCP for Students,"All right, everyone is back on time. They are eating lunch at the time they had planned to eat lunch at. You can leave your stuff in the room if you want. You will be eating with real life Google engineers. There is no assigned seating, so make sure you sit with people that look interesting. They will see you in an hour.",Back on time.,I1XeDS-GLbg,right everyone back time eating lunch time planned eat lunch leave stuff room want eating real life google engineers assigned seating make sure sit people look interesting see hour,back time,36
An Introduction to GCP for Students,"Google Cloud is a set of tools that helps you spend less time managing and more time creating m google Cloud is the mixture of both GCP on the right and G Suite on the left. GCP is the infrastructure and platform as a service. Side of the house, G Suite is the software as a service.",What is google cloud.,I1XeDS-GLbg,google cloud set tools helps spend less time managing time creating google cloud mixture gcp right g suite left gcp infrastructure platform service side house g suite software service,google cloud,36
An Introduction to GCP for Students,"Coca-Cola used Google cloud platform for its World Cup marketing campaign. The campaign used 3 million and a half images from over 200 countries. The agency that was creating the photo mosaic printed in fabric, we recreated the equivalent digitally. Google's Cloud platform has the same infrastructure as Google search engine.",How coca - cola participated in the world cup.,I1XeDS-GLbg,used google cloud platform world cup marketing campaign campaign used million half images countries agency creating photo mosaic printed fabric recreated equivalent digitally google cloud platform infrastructure google search engine,coca cola participated world cup,6
An Introduction to GCP for Students,"Coca-Cola put their biggest marketing campaign in history in the hands of Google, and it went very, very successfully. Now we're going to see another example of that “heard. Someone trying to clap. You can go ahead and clap.",Sponsored by coca - cola.,I1XeDS-GLbg,put biggest marketing campaign history hands google went successfully going see another example heard someone trying clap go ahead clap,sponsored coca cola,2
An Introduction to GCP for Students,"During the demo, Armon talked about the history of Onprem to Cloud, the three umbrellas of Cloud infrastructure platform as a service and G suite. He also talked about GCP's tools and use cases. Armon wants to thank the audience for listening to him.",Recap of the talk.,I1XeDS-GLbg,demo armon talked history onprem cloud three umbrellas cloud infrastructure platform service g suite also talked gcp tools use cases armon wants thank audience listening,recap talk,36
Automatic Speech Recognition: Chapter 1,"Automatic speech recognition. (asr) is a way of converting sound into text. The acoustic model is responsible for mapping sound to phones. In the next chapter, Lengka will talk about where it comes from and the training of the models.",Automatic speech recognition chapter 1.,I1XeDS-GLbg,automatic speech recognition asr way converting sound text acoustic model responsible mapping sound phones next chapter lengka talk comes training models,automatic speech recognition chapter,29
Big Data Analytics,Walmart used big data analytics to profit from Hurricane Sandy. They stopped all their stores with a lot of Strawberry Pop Tarts and emergency stuff and obviously it was sold out. It is a good example to understand how big data analytics can help your business to grow and find better insights.,Hurricane sandy and big data analytics.,I1XeDS-GLbg,walmart used big data analytics profit hurricane sandy stopped stores lot strawberry pop tarts emergency stuff obviously sold good example understand big data analytics help business grow find better insights,hurricane sandy big data analytics,19
Big Data Analytics For Beginners Simplilearn,There are four different types of big data analytics. Descriptive analytics is the type that summarizes past data into a form that can be understood by humans. It is used for creating various reports for companies and tabulating various social media metrics. The Dow Chemical Company analyzed all its past data using descriptive analytics and identified the underutilized space in their facility. They were able to save $4 million annually.,Different types of big data analytics.,I1XeDS-GLbg,four different types big data analytics descriptive analytics type summarizes past data form understood humans used creating various reports companies tabulating various social media metrics dow chemical company analyzed past data using descriptive analytics identified underutilized space facility able save million annually,different types big data analytics,19
Big Data Analytics What Is Big Data Analytics?,"Big data is a term for data sets that cannot be handled by traditional computers or tools due to their value, volume, velocity and veracity. Facebook generates over 500 plus terabytes of data every day. Hadoop is a framework that stores and processes big data using the distributed storage system. Big data analytics is the process used to extract meaningful information from big data. It can be used for better decision making, to prevent fraudulent activities and many others.",What is big data.,I1XeDS-GLbg,big data term data sets handled traditional computers tools due value volume velocity veracity facebook generates plus terabytes data every day hadoop framework stores processes big data using distributed storage system big data analytics process used extract meaningful information big data used better decision making prevent fraudulent activities many others,big data,19
Big Data Analytics What Is Big Data Analytics?,"Today SHUTi from Simply Learn will talk about big data analytics. He explains why it is needed and explains the various types of big data analysis tools used to achieve it. He gives an example of Spotify, a music streaming platform which analyzes big data for suggesting songs to its users.",Introduction to big data analytics.,I1XeDS-GLbg,today shuti simply learn talk big data analytics explains needed explains various types big data analysis tools used achieve gives example spotify music streaming platform analyzes big data suggesting songs users,introduction big data analytics,19
Big Data Analytics What Is Big Data Analytics? Big Data Analytics For Beginners Simplilearn,"There are four types of analytics: descriptive, predictive, prescriptive, and big data analytics. Predictive analytics helps you understand what can happen next. Prescriptive analytics always prescribes a solution to a particular problem. It analyzes various factors and builds an algorithm which will automatically adjust the flight's fare. By doing so, the airline is able to maximize its profit.",What is prescriptive analytics.,I1XeDS-GLbg,four types analytics descriptive predictive prescriptive big data analytics predictive analytics helps understand happen next prescriptive analytics always prescribes solution particular problem analyzes various factors builds algorithm automatically adjust flight fare airline able maximize profit,prescriptive analytics,19
Big Data Analytics What Is Big Data Analytics? Big Data Analytics For Beginners Simplilearn,"Predictive analytics makes predictions of the future it analyzes the current and historical facts to make predictions about future. Predictive analytics is used with the help of artificial intelligence, machine learning and data mining to analyze the data. It can be used for predicting customer trends, market trends, customer behavior, etc. PayPal uses Predictive Analytics to prevent fraudulent activities.",Predictive analytics.,I1XeDS-GLbg,predictive analytics makes predictions future analyzes current historical facts make predictions future predictive analytics used help artificial intelligence machine learning data mining analyze data used predicting customer trends market trends customer behavior etc paypal uses predictive analytics prevent fraudulent activities,predictive analytics,19
Big Data Analytics What Is Big Data Analytics? Big Data Analytics For Beginners Simplilearn,"Diagnostic analytics uses data mining, data discovery and drill down to look into the root cause of a problem. Initialt's Bi Query tool is an example of diagnostic analytics we can use in the example of ecommerce sites.",Type of diagnostic analytics.,I1XeDS-GLbg,diagnostic analytics uses data mining data discovery drill look root cause problem initialt bi query tool example diagnostic analytics use example ecommerce sites,type diagnostic analytics,7
Big Data Analytics What Is Big Data Analytics? Big Data Analytics For Beginners Simplilearn,"Apache. Hadoop is used to store and process big data in a distributed and parallel fashion. MongoDB is a crossplatform document oriented database. Talend provides software and services for data integration, data management and cloud storage. Storm is a free big data computational system which is done in real time. Kafka is a distributed streaming platform developed by LinkedIn.",Hadoop and other big data tools.,I1XeDS-GLbg,apache hadoop used store process big data distributed parallel fashion mongodb crossplatform document oriented database talend provides software services data integration data management cloud storage storm free big data computational system done real time kafka distributed streaming platform developed linkedin,hadoop big data tools,7
Big Data Analytics What Is Big Data Analytics? Big Data Analytics For Beginners Simplilearn,"Today's video explains the various uses of big data analytics in various sectors. Big data analytics is used in ecommerce, education, health care, banking, media and entertainment, law enforcement and telecoms. It can also be used to improve service quality and improve customer experience.",Big data application domains.,I1XeDS-GLbg,today video explains various uses big data analytics various sectors big data analytics used ecommerce education health care banking media entertainment law enforcement telecoms also used improve service quality improve customer experience,big data application domains,19
Big Data Analytics What Is Big Data Analytics? Big Data Analytics For Beginners Simplilearn,The business case evaluation stage is the first stage in the lifecycle of big data analytics. The data aggregation stage is followed by the analysis stage. The result of the data analysis stage is graphically communicated using tools like Tableau Power Bi Click View. The analysis result is then made available to different business stakeholders for various decision making.,The lifecycle of big data analytics.,I1XeDS-GLbg,business case evaluation stage first stage lifecycle big data analytics data aggregation stage followed analysis stage result data analysis stage graphically communicated using tools like tableau power bi click view analysis result made available different business stakeholders various decision making,lifecycle big data analytics,7
